2 3464 6928
0 0 835 57
1 0 858 31
0 1 870 58
1 1 892 34
0 2 904 59
1 2 924 37
0 3 802 60
1 3 826 32
0 4 809 60
1 4 833 33
0 5 819 60
1 5 843 33
0 6 847 60
1 6 871 34
0 7 764 61
1 7 788 31
0 8 783 61
1 8 808 31
0 9 850 61
1 9 873 36
0 10 789 62
1 10 813 33
0 11 795 62
1 11 819 33
0 12 819 62
1 12 842 35
0 13 861 62
1 13 884 37
0 14 830 63
1 14 853 36
0 15 758 64
1 15 783 33
0 16 782 64
1 16 806 35
0 17 838 64
1 17 861 38
0 18 856 64
1 18 879 39
0 19 872 64
1 19 893 40
0 20 720 65
1 20 745 31
0 21 724 65
1 21 749 32
0 22 811 65
1 22 835 37
0 23 829 65
1 23 853 38
0 24 840 65
1 24 863 39
0 25 699 66
1 25 724 31
0 26 759 66
1 26 783 35
0 27 801 66
1 27 826 37
0 28 820 66
1 28 844 39
0 29 748 67
1 29 772 35
0 30 767 67
1 30 792 36
0 31 773 67
1 31 798 37
0 32 844 67
1 32 867 41
0 33 667 68
1 33 691 31
0 34 681 68
1 34 706 32
0 35 718 68
1 35 743 34
0 36 724 68
1 36 748 34
0 37 794 68
1 37 818 39
0 38 640 69
1 38 663 31
0 39 662 69
1 39 685 32
0 40 756 69
1 40 781 38
0 41 785 69
1 41 809 40
0 42 806 69
1 42 830 41
0 43 825 69
1 43 848 42
0 44 617 70
1 44 639 31
0 45 713 70
1 45 737 36
0 46 744 70
1 46 768 38
0 47 747 70
1 47 772 38
0 48 870 70
1 48 891 46
0 49 805 71
1 49 828 43
0 50 814 71
1 50 838 43
0 51 636 72
1 51 659 33
0 52 646 72
1 52 670 34
0 53 754 72
1 53 778 40
0 54 773 72
1 54 798 42
0 55 787 72
1 55 812 43
0 56 719 73
1 56 743 39
0 57 848 73
1 57 871 47
0 58 641 74
1 58 664 36
0 59 713 74
1 59 737 40
0 60 724 74
1 60 749 40
0 61 838 74
1 61 860 48
0 62 841 74
1 62 864 48
0 63 854 74
1 63 876 49
0 64 625 75
1 64 647 35
0 65 645 75
1 65 668 37
0 66 654 75
1 66 677 37
0 67 711 75
1 67 735 41
0 68 716 75
1 68 740 41
0 69 747 75
1 69 771 44
0 70 822 75
1 70 845 48
0 71 891 75
1 71 911 52
0 72 760 76
1 72 785 45
0 73 865 76
1 73 887 51
0 74 627 77
1 74 650 38
0 75 653 77
1 75 676 40
0 76 658 77
1 76 682 39
0 77 661 77
1 77 684 40
0 78 674 77
1 78 698 41
0 79 702 77
1 79 726 42
0 80 749 77
1 80 774 46
0 81 642 78
1 81 665 40
0 82 741 78
1 82 766 46
0 83 909 78
1 83 929 55
0 84 595 79
1 84 616 38
0 85 622 79
1 85 644 39
0 86 785 79
1 86 809 49
0 87 794 79
1 87 817 50
0 88 803 79
1 88 827 50
0 89 603 80
1 89 624 39
0 90 612 80
1 90 634 40
0 91 652 80
1 91 676 42
0 92 710 80
1 92 734 46
0 93 730 80
1 93 755 47
0 94 736 80
1 94 761 48
0 95 868 80
1 95 890 56
0 96 637 81
1 96 660 43
0 97 672 81
1 97 696 45
0 98 702 81
1 98 726 47
0 99 712 81
1 99 736 47
0 100 716 81
1 100 740 48
0 101 765 81
1 101 790 50
0 102 780 81
1 102 805 52
0 103 785 81
1 103 810 51
0 104 603 82
1 104 624 42
0 105 631 82
1 105 655 43
0 106 644 82
1 106 667 44
0 107 680 82
1 107 704 46
0 108 710 82
1 108 734 48
0 109 723 82
1 109 748 48
0 110 647 83
1 110 670 45
0 111 896 83
1 111 916 60
0 112 441 84
1 112 465 33
0 113 513 84
1 113 548 37
0 114 604 84
1 114 625 44
0 115 631 84
1 115 654 46
0 116 637 84
1 116 660 45
0 117 617 85
1 117 639 45
0 118 620 85
1 118 642 45
0 119 720 85
1 119 744 52
0 120 735 85
1 120 760 52
0 121 752 85
1 121 778 54
0 122 813 85
1 122 837 57
0 123 896 85
1 123 916 62
0 124 404 86
1 124 423 33
0 125 637 86
1 125 660 48
0 126 643 86
1 126 666 48
0 127 893 86
1 127 913 63
0 128 603 87
1 128 624 47
0 129 620 87
1 129 642 48
0 130 630 87
1 130 653 48
0 131 657 87
1 131 680 50
0 132 659 87
1 132 682 50
0 133 717 87
1 133 741 54
0 134 820 87
1 134 844 59
0 135 513 88
1 135 547 42
0 136 617 88
1 136 639 48
0 137 648 88
1 137 672 50
0 138 692 88
1 138 716 53
0 139 794 88
1 139 818 59
0 140 517 89
1 140 550 43
0 141 591 89
1 141 612 48
0 142 603 89
1 142 624 49
0 143 610 89
1 143 632 49
0 144 663 89
1 144 686 53
0 145 720 89
1 145 744 56
0 146 812 89
1 146 836 61
0 147 862 89
1 147 883 64
0 148 619 90
1 148 641 51
0 149 699 90
1 149 723 56
0 150 706 90
1 150 730 56
0 151 710 90
1 151 734 56
0 152 713 90
1 152 737 56
0 153 766 90
1 153 791 60
0 154 818 90
1 154 841 62
0 155 868 90
1 155 890 66
0 156 689 91
1 156 713 56
0 157 773 91
1 157 797 61
0 158 300 92
1 158 286 32
0 159 328 92
1 159 318 34
0 160 645 92
1 160 668 54
0 161 679 92
1 161 703 56
0 162 700 92
1 162 724 58
0 163 321 93
1 163 312 35
0 164 597 93
1 164 618 52
0 165 635 93
1 165 657 55
0 166 694 93
1 166 718 58
0 167 761 93
1 167 786 62
0 168 800 93
1 168 824 64
0 169 872 93
1 169 893 68
0 170 649 94
1 170 673 57
0 171 795 94
1 171 819 65
0 172 881 94
1 172 901 70
0 173 611 95
1 173 633 55
0 174 617 95
1 174 639 56
0 175 628 95
1 175 650 57
0 176 654 95
1 176 678 58
0 177 665 95
1 177 689 58
0 178 749 95
1 178 774 63
0 179 813 95
1 179 837 67
0 180 638 96
1 180 661 58
0 181 643 96
1 181 666 58
0 182 687 96
1 182 712 61
0 183 693 96
1 183 718 61
0 184 706 96
1 184 730 62
0 185 710 96
1 185 734 63
0 186 773 96
1 186 797 66
0 187 602 97
1 187 623 57
0 188 626 97
1 188 648 59
0 189 632 97
1 189 655 58
0 190 802 97
1 190 825 68
0 191 853 97
1 191 876 71
0 192 630 98
1 192 651 60
0 193 650 98
1 193 672 61
0 194 816 98
1 194 840 70
0 195 862 98
1 195 883 73
0 196 621 99
1 196 643 60
0 197 644 99
1 197 667 61
0 198 715 99
1 198 740 66
0 199 761 99
1 199 785 68
0 200 804 99
1 200 828 70
0 201 881 99
1 201 902 75
0 202 590 100
1 202 611 59
0 203 727 100
1 203 751 68
0 204 758 100
1 204 782 69
0 205 788 100
1 205 811 71
0 206 802 100
1 206 825 72
0 207 829 100
1 207 852 73
0 208 597 101
1 208 618 60
0 209 602 101
1 209 623 60
0 210 606 101
1 210 627 61
0 211 700 101
1 211 724 66
0 212 796 101
1 212 820 72
0 213 865 101
1 213 886 76
0 214 589 102
1 214 610 61
0 215 611 102
1 215 633 62
0 216 708 102
1 216 732 68
0 217 729 102
1 217 754 69
0 218 786 102
1 218 809 73
0 219 813 102
1 219 836 74
0 220 855 102
1 220 877 76
0 221 899 102
1 221 919 79
0 222 607 103
1 222 628 64
0 223 769 103
1 223 793 72
0 224 869 103
1 224 890 78
0 225 895 103
1 225 915 79
0 226 602 104
1 226 623 64
0 227 609 104
1 227 631 64
0 228 668 104
1 228 692 68
0 229 755 104
1 229 780 73
0 230 820 104
1 230 844 76
0 231 864 104
1 231 885 79
0 232 892 104
1 232 912 80
0 233 598 105
1 233 618 65
0 234 640 105
1 234 663 67
0 235 734 105
1 235 759 73
0 236 811 105
1 236 835 77
0 237 610 106
1 237 632 66
0 238 644 106
1 238 667 68
0 239 706 106
1 239 730 72
0 240 729 106
1 240 753 73
0 241 772 106
1 241 797 75
0 242 834 106
1 242 857 79
0 243 837 106
1 243 859 79
0 244 604 107
1 244 625 67
0 245 671 107
1 245 695 71
0 246 692 107
1 246 716 72
0 247 701 107
1 247 725 72
0 248 752 107
1 248 776 76
0 249 587 108
1 249 608 67
0 250 648 108
1 250 671 71
0 251 683 108
1 251 707 73
0 252 732 108
1 252 757 75
0 253 766 108
1 253 791 77
0 254 825 108
1 254 848 80
0 255 597 109
1 255 618 69
0 256 688 109
1 256 713 74
0 257 802 109
1 257 825 80
0 258 860 109
1 258 882 83
0 259 581 110
1 259 601 69
0 260 602 110
1 260 623 70
0 261 670 110
1 261 695 74
0 262 676 110
1 262 701 75
0 263 746 110
1 263 770 78
0 264 823 110
1 264 846 82
0 265 865 110
1 265 887 85
0 266 874 110
1 266 895 85
0 267 291 111
1 267 276 52
0 268 627 111
1 268 649 73
0 269 760 111
1 269 784 80
0 270 786 111
1 270 810 81
0 271 868 111
1 271 889 86
0 272 649 112
1 272 671 75
0 273 741 112
1 273 765 80
0 274 807 112
1 274 830 83
0 275 829 112
1 275 852 84
0 276 902 112
1 276 921 89
0 277 580 113
1 277 600 72
0 278 643 113
1 278 666 75
0 279 655 113
1 279 679 76
0 280 667 113
1 280 690 77
0 281 733 113
1 281 758 80
0 282 775 113
1 282 799 83
0 283 882 113
1 283 903 89
0 284 631 114
1 284 653 76
0 285 827 114
1 285 850 86
0 286 585 115
1 286 605 74
0 287 605 115
1 287 628 76
0 288 622 115
1 288 644 77
0 289 637 115
1 289 659 77
0 290 678 115
1 290 702 79
0 291 736 115
1 291 761 83
0 292 755 115
1 292 780 83
0 293 807 115
1 293 830 86
0 294 665 116
1 294 689 80
0 295 773 116
1 295 797 86
0 296 779 116
1 296 803 86
0 297 799 116
1 297 823 87
0 298 246 117
1 298 222 56
0 299 730 117
1 299 754 84
0 300 782 117
1 300 806 87
0 301 791 117
1 301 815 88
0 302 820 118
1 302 843 90
0 303 607 119
1 303 628 80
0 304 667 119
1 304 691 83
0 305 731 119
1 305 755 87
0 306 744 119
1 306 769 87
0 307 794 119
1 307 818 90
0 308 598 120
1 308 619 80
0 309 725 120
1 309 749 87
0 310 594 121
1 310 615 81
0 311 671 121
1 311 695 85
0 312 751 121
1 312 777 89
0 313 853 121
1 313 875 95
0 314 871 121
1 314 892 96
0 315 585 122
1 315 605 82
0 316 587 122
1 316 608 82
0 317 597 122
1 317 618 82
0 318 736 122
1 318 760 90
0 319 784 122
1 319 808 92
0 320 797 122
1 320 820 93
0 321 569 123
1 321 589 82
0 322 574 123
1 322 594 82
0 323 715 123
1 323 739 90
0 324 755 123
1 324 778 91
0 325 761 123
1 325 785 92
0 326 911 123
1 326 930 99
0 327 444 124
1 327 494 75
0 328 592 124
1 328 613 84
0 329 743 124
1 329 767 92
0 330 779 124
1 330 803 94
0 331 783 124
1 331 807 94
0 332 798 124
1 332 822 95
0 333 840 124
1 333 863 97
0 334 583 125
1 334 603 84
0 335 619 125
1 335 641 86
0 336 667 125
1 336 690 90
0 337 693 125
1 337 717 91
0 338 699 125
1 338 724 90
0 339 750 125
1 339 774 94
0 340 579 126
1 340 600 86
0 341 630 126
1 341 653 88
0 342 710 126
1 342 734 93
0 343 839 126
1 343 861 99
0 344 896 126
1 344 916 102
0 345 572 127
1 345 592 86
0 346 589 127
1 346 610 87
0 347 669 127
1 347 692 91
0 348 672 127
1 348 696 92
0 349 746 127
1 349 769 95
0 350 778 127
1 350 802 97
0 351 782 127
1 351 806 97
0 352 860 127
1 352 882 101
0 353 905 127
1 353 924 103
0 354 297 128
1 354 283 71
0 355 685 128
1 355 709 93
0 356 715 128
1 356 739 95
0 357 717 128
1 357 742 95
0 358 763 128
1 358 787 97
0 359 910 128
1 359 928 104
0 360 277 129
1 360 260 71
0 361 732 129
1 361 757 96
0 362 500 130
1 362 528 85
0 363 664 130
1 363 688 94
0 364 750 130
1 364 775 98
0 365 780 130
1 365 803 100
0 366 813 130
1 366 836 102
0 367 870 130
1 367 891 104
0 368 887 130
1 368 907 105
0 369 902 130
1 369 921 106
0 370 517 131
1 370 544 87
0 371 594 131
1 371 615 91
0 372 760 131
1 372 784 100
0 373 783 131
1 373 807 101
0 374 904 131
1 374 923 107
0 375 909 131
1 375 928 107
0 376 641 132
1 376 663 95
0 377 654 132
1 377 676 95
0 378 677 132
1 378 701 97
0 379 727 132
1 379 752 99
0 380 745 132
1 380 770 100
0 381 888 132
1 381 908 107
0 382 281 133
1 382 264 76
0 383 291 133
1 383 276 76
0 384 627 133
1 384 650 95
0 385 631 133
1 385 654 96
0 386 738 133
1 386 763 101
0 387 752 133
1 387 776 102
0 388 756 133
1 388 779 102
0 389 778 133
1 389 802 103
0 390 822 133
1 390 845 105
0 391 771 134
1 391 795 104
0 392 782 134
1 392 806 104
0 393 796 134
1 393 820 105
0 394 887 134
1 394 907 109
0 395 278 135
1 395 261 78
0 396 628 135
1 396 651 97
0 397 674 135
1 397 698 99
0 398 700 135
1 398 724 101
0 399 721 135
1 399 745 102
0 400 742 135
1 400 766 103
0 401 867 135
1 401 888 109
0 402 826 136
1 402 849 108
0 403 856 136
1 403 877 109
0 404 882 136
1 404 902 111
0 405 592 137
1 405 613 97
0 406 633 137
1 406 656 100
0 407 744 137
1 407 768 105
0 408 764 137
1 408 789 106
0 409 778 137
1 409 802 107
0 410 892 137
1 410 912 112
0 411 508 138
1 411 536 94
0 412 574 138
1 412 594 98
0 413 638 138
1 413 661 101
0 414 670 138
1 414 694 102
0 415 690 138
1 415 714 103
0 416 716 138
1 416 740 104
0 417 781 138
1 417 805 108
0 418 793 138
1 418 817 108
0 419 836 138
1 419 858 110
0 420 889 138
1 420 909 113
0 421 910 138
1 421 929 114
0 422 666 139
1 422 689 103
0 423 684 139
1 423 708 104
0 424 758 139
1 424 782 107
0 425 770 139
1 425 794 109
0 426 864 139
1 426 885 113
0 427 662 140
1 427 686 104
0 428 672 140
1 428 695 105
0 429 797 140
1 429 821 111
0 430 839 140
1 430 862 113
