2 3464 6928
0 0 835.000000 57.000000 
1 0 858.000000 31.000000 
0 1 870.000000 58.000000 
1 1 892.000000 34.000000 
0 2 904.000000 59.000000 
1 2 924.000000 37.000000 
0 3 802.000000 60.000000 
1 3 826.000000 32.000000 
0 4 809.000000 60.000000 
1 4 833.000000 33.000000 
0 5 819.000000 60.000000 
1 5 843.000000 33.000000 
0 6 847.000000 60.000000 
1 6 871.000000 34.000000 
0 7 764.000000 61.000000 
1 7 788.000000 31.000000 
0 8 783.000000 61.000000 
1 8 808.000000 31.000000 
0 9 850.000000 61.000000 
1 9 873.000000 36.000000 
0 10 789.000000 62.000000 
1 10 813.000000 33.000000 
0 11 795.000000 62.000000 
1 11 819.000000 33.000000 
0 12 819.000000 62.000000 
1 12 842.000000 35.000000 
0 13 861.000000 62.000000 
1 13 884.000000 37.000000 
0 14 830.000000 63.000000 
1 14 853.000000 36.000000 
0 15 758.000000 64.000000 
1 15 783.000000 33.000000 
0 16 782.000000 64.000000 
1 16 806.000000 35.000000 
0 17 838.000000 64.000000 
1 17 861.000000 38.000000 
0 18 856.000000 64.000000 
1 18 879.000000 39.000000 
0 19 872.000000 64.000000 
1 19 893.000000 40.000000 
0 20 720.000000 65.000000 
1 20 745.000000 31.000000 
0 21 724.000000 65.000000 
1 21 749.000000 32.000000 
0 22 811.000000 65.000000 
1 22 835.000000 37.000000 
0 23 829.000000 65.000000 
1 23 853.000000 38.000000 
0 24 840.000000 65.000000 
1 24 863.000000 39.000000 
0 25 699.000000 66.000000 
1 25 724.000000 31.000000 
0 26 759.000000 66.000000 
1 26 783.000000 35.000000 
0 27 801.000000 66.000000 
1 27 826.000000 37.000000 
0 28 820.000000 66.000000 
1 28 844.000000 39.000000 
0 29 748.000000 67.000000 
1 29 772.000000 35.000000 
0 30 767.000000 67.000000 
1 30 792.000000 36.000000 
0 31 773.000000 67.000000 
1 31 798.000000 37.000000 
0 32 844.000000 67.000000 
1 32 867.000000 41.000000 
0 33 667.000000 68.000000 
1 33 691.000000 31.000000 
0 34 681.000000 68.000000 
1 34 706.000000 32.000000 
0 35 718.000000 68.000000 
1 35 743.000000 34.000000 
0 36 724.000000 68.000000 
1 36 748.000000 34.000000 
0 37 794.000000 68.000000 
1 37 818.000000 39.000000 
0 38 640.000000 69.000000 
1 38 663.000000 31.000000 
0 39 662.000000 69.000000 
1 39 685.000000 32.000000 
0 40 756.000000 69.000000 
1 40 781.000000 38.000000 
0 41 785.000000 69.000000 
1 41 809.000000 40.000000 
0 42 806.000000 69.000000 
1 42 830.000000 41.000000 
0 43 825.000000 69.000000 
1 43 848.000000 42.000000 
0 44 617.000000 70.000000 
1 44 639.000000 31.000000 
0 45 713.000000 70.000000 
1 45 737.000000 36.000000 
0 46 744.000000 70.000000 
1 46 768.000000 38.000000 
0 47 747.000000 70.000000 
1 47 772.000000 38.000000 
0 48 870.000000 70.000000 
1 48 891.000000 46.000000 
0 49 805.000000 71.000000 
1 49 828.000000 43.000000 
0 50 814.000000 71.000000 
1 50 838.000000 43.000000 
0 51 636.000000 72.000000 
1 51 659.000000 33.000000 
0 52 646.000000 72.000000 
1 52 670.000000 34.000000 
0 53 754.000000 72.000000 
1 53 778.000000 40.000000 
0 54 773.000000 72.000000 
1 54 798.000000 42.000000 
0 55 787.000000 72.000000 
1 55 812.000000 43.000000 
0 56 719.000000 73.000000 
1 56 743.000000 39.000000 
0 57 848.000000 73.000000 
1 57 871.000000 47.000000 
0 58 641.000000 74.000000 
1 58 664.000000 36.000000 
0 59 713.000000 74.000000 
1 59 737.000000 40.000000 
0 60 724.000000 74.000000 
1 60 749.000000 40.000000 
0 61 838.000000 74.000000 
1 61 860.000000 48.000000 
0 62 841.000000 74.000000 
1 62 864.000000 48.000000 
0 63 854.000000 74.000000 
1 63 876.000000 49.000000 
0 64 625.000000 75.000000 
1 64 647.000000 35.000000 
0 65 645.000000 75.000000 
1 65 668.000000 37.000000 
0 66 654.000000 75.000000 
1 66 677.000000 37.000000 
0 67 711.000000 75.000000 
1 67 735.000000 41.000000 
0 68 716.000000 75.000000 
1 68 740.000000 41.000000 
0 69 747.000000 75.000000 
1 69 771.000000 44.000000 
0 70 822.000000 75.000000 
1 70 845.000000 48.000000 
0 71 891.000000 75.000000 
1 71 911.000000 52.000000 
0 72 760.000000 76.000000 
1 72 785.000000 45.000000 
0 73 865.000000 76.000000 
1 73 887.000000 51.000000 
